Year,Crops,Area,Average_Yield,Production,Autum_Area,Autum_Average_Yield ,Autum_Production,Summer_Area,Summer_Average_Yield,Summer_Production
2013,Peas,33.5,1.5,48.7,30.5,1.5,45.1,3,1.2,3.6
2013,Pepper,4086,6.2,12570.4,2611.5,6.8,8789.8,1474.5,5.2,3780.5
2013,Potato,6937.5,3.5,23986,5905.5,3.5,20681.1,1032,3.2,3304.9
2013,Radish,140,2.1,287,104,2,212.6,36,2.1,74.4
2013,Spinach,62,4.1,254,42,4.1,174,20,4,80
2013,Squash,4291.5,2.3,9985.8,2908,2.2,6499.4,1383.5,2.5,3486.4
2013,Sweet melon,306.5,4.3,1311,56,4.5,253,250.5,4.2,1058
2013,Tomatoes,6288.5,10.5,65767.2,3758,12.2,45730,2530.5,7.9,20037.1
2013,Turnip,41.5,3,123.2,28.5,3,85.5,13,2.9,37.7
2013,Water melon,107,4.5,481.5,0,0,0,107,4.5,481.5
2014,Beans,1592.9,1.6,1242.2,891.8,1.6,752.4,701,1.5,489.8
2014,Cabbage,516.2,3.3,1718.9,500,3.3,1665,16.2,3.3,53.9
2014,Carrot,62.9,6,377.2,62.9,6,377.2,0,0,0
2014,Cauliflower,977.4,3.6,3518.4,753.9,3.6,2713.9,223.5,3.6,804.5
2014,Cowpeas,234.5,0.6,141.7,0,0,0,234.4,0.6,141.7
2014,Cucumber,1754,13.3,21991.4,1493.3,13.2,19664.7,260.6,9.8,2326.7
2014,Eggplants,2422.2,2.8,6763.8,687.5,4.8,3275.2,1734.7,2,3488.5
2014,Jew's mallow,1021.1,2.4,2430.5,267.2,2.3,614.5,753.9,2.4,1816
2014,Lettuce,1753.3,4.2,7334.8,1562.8,4.2,6563.8,190.5,4.1,771
2014,Okra,2790.1,0.3,828.4,105.7,1,100.4,2684.4,0.3,728
2014,Onion dry,69.8,2.8,192,69.8,2.8,192,0,0,0
2014,Onion green,604.2,2.1,1290.7,561.6,2.1,1197.8,42.6,2.2,92.9
2014,Others_(Vegetables),542.7,1.6,888,278.8,1.9,524.4,263.9,1.4,363.7
2014,Parsley,19.3,2.5,47.2,0,0,0,19.3,2.5,47.2
2014,Peas,39.4,2.1,83.6,39.4,2.1,83.6,0,0,0
2014,Pepper,3247.7,5.9,11104,2290.4,6,8346.5,957.3,5.4,2757.5
2014,Potato,8675.1,2.8,24452.6,8184.9,2.8,23077.7,490.2,2.8,1374.9
2014,Radish,211.1,2.3,486.9,81.6,2.3,184.9,129.5,2.3,302
2014,Spinach,87.2,3.6,313.8,45.2,3.6,162.6,42,3.6,151.2
2014,Squash,3000.4,2.4,7042,2154.4,2.5,5328,846,2,1713.9
2014,Sweet melon,473.3,2.8,1318.3,103.1,3.2,326.7,370.2,2.7,991.6
2014,Tomatoes,8563,10.7,91187.8,5161,13.8,71452.1,3402,5.8,19735.7
2014,Water melon,39.5,2.3,89.9,0,0,0,39.5,2.3,89.9
2015,Beans,1352.6,3.6,2105.7,880.5,2.7,837.3,472.1,3.6,1268.3
2015,Cabbage,408,5,2035,408,5,2035,0,0,0
2015,Carrot,283,6,1697.8,283,6,1697.8,0,0,0
2015,Cauliflower,422.9,3.6,1520.6,402.9,3.6,1442.7,20,3.9,77.9
2015,Cowpeas,390.7,1,383.6,0,0,0,390.7,1,383.6
2015,Cucumber,1642.1,10.3,15229.9,1401.8,9.2,12931.5,240.2,10.8,2298.5
